from,to,time,amount
handan,fenglin,06:55,1
handan,fenglin,07:10,1
fenglin,handan,07:10,1
fenglin,handan,07:20,1
handan,fenglin,08:15,1
fenglin,handan,08:15,1
handan,fenglin,09:15,1
fenglin,handan,09:15,1
handan,fenglin,10:15,1
handan,fenglin,11:00,1
fenglin,handan,11:00,1
fenglin,handan,11:45,1
fenglin,handan,12:15,1
handan,fenglin,12:30,1
handan,fenglin,13:00,1
fenglin,handan,13:00,1
handan,fenglin,14:00,1
fenglin,handan,14:00,1
fenglin,handan,14:30,1
handan,fenglin,15:30,1
fenglin,handan,15:30,1
handan,fenglin,16:00,1
fenglin,handan,16:00,1
handan,fenglin,16:55,1
fenglin,handan,16:55,1
handan,fenglin,17:10,1
fenglin,handan,17:10,1
fenglin,handan,17:25,1
handan,fenglin,18:00,1
fenglin,handan,18:20,1
handan,fenglin,19:30,1
handan,fenglin,20:20,2
fenglin,handan,20:20,1
fenglin,handan,21:15,1
handan,fenglin,21:25,2
fenglin,handan,21:50,1
jiangwan,handan,07:10,1
jiangwan,handan,07:20,1
handan,jiangwan,07:30,1
jiangwan,handan,07:30,1
handan,jiangwan,07:40,1
jiangwan,handan,07:40,1
jiangwan,handan,07:50,1
handan,jiangwan,08:00,1
jiangwan,handan,08:00,1
jiangwan,handan,08:15,1
handan,jiangwan,08:30,2
jiangwan,handan,08:30,1
jiangwan,handan,08:45,1
handan,jiangwan,09:00,1
jiangwan,handan,09:00,2
jiangwan,handan,09:15,1
handan,jiangwan,09:30,1
jiangwan,handan,09:30,1
handan,jiangwan,10:00,1
jiangwan,handan,10:00,1
handan,jiangwan,10:20,1
jiangwan,handan,10:30,1
handan,jiangwan,11:00,1
jiangwan,handan,11:10,1
handan,jiangwan,11:30,1
jiangwan,handan,11:40,1
handan,jiangwan,11:45,1
handan,jiangwan,12:00,1
jiangwan,handan,12:00,1
jiangwan,handan,12:15,1
handan,jiangwan,12:30,1
jiangwan,handan,12:30,1
jiangwan,handan,12:40,1
handan,jiangwan,13:00,1
jiangwan,handan,13:00,1
handan,jiangwan,13:30,1
jiangwan,handan,13:30,1
handan,jiangwan,14:00,1
jiangwan,handan,14:00,1
handan,jiangwan,14:30,1
handan,jiangwan,15:00,1
jiangwan,handan,15:00,2
jiangwan,handan,15:15,1
handan,jiangwan,15:30,1
jiangwan,handan,15:30,1
handan,jiangwan,16:00,1
jiangwan,handan,16:00,1
handan,jiangwan,16:15,1
handan,jiangwan,16:20,1
handan,jiangwan,16:30,1
jiangwan,handan,16:30,1
jiangwan,handan,16:55,1
handan,jiangwan,17:00,1
jiangwan,handan,17:00,1
jiangwan,handan,17:10,1
handan,jiangwan,17:15,1
handan,jiangwan,17:25,1
jiangwan,handan,17:30,1
handan,jiangwan,17:35,1
handan,jiangwan,17:45,1
handan,jiangwan,18:00,1
jiangwan,handan,18:00,2
handan,jiangwan,18:30,1
jiangwan,handan,19:00,1
handan,jiangwan,20:00,1
jiangwan,handan,20:00,1
handan,jiangwan,20:20,1
handan,jiangwan,20:30,1
jiangwan,handan,20:30,1
handan,jiangwan,20:50,1
handan,jiangwan,21:00,1
jiangwan,handan,21:00,1
handan,jiangwan,21:20,1
jiangwan,handan,21:20,1
handan,jiangwan,21:40,1
jiangwan,handan,21:45,1
handan,jiangwan,22:00,1
jiangwan,handan,22:10,1
handan,jiangwan,22:15,1
handan,jiangwan,22:30,1
handan,zhangjiang,07:10,1
zhangjiang,handan,07:15,1
handan,zhangjiang,07:40,1
handan,zhangjiang,08:00,1
zhangjiang,handan,08:00,1
handan,zhangjiang,08:30,1
zhangjiang,handan,08:40,1
handan,zhangjiang,09:00,1
zhangjiang,handan,09:00,1
handan,zhangjiang,10:00,1
zhangjiang,handan,10:00,1
handan,zhangjiang,11:50,1
zhangjiang,handan,11:50,2
zhangjiang,handan,12:15,1
handan,zhangjiang,12:30,1
zhangjiang,handan,12:40,1
handan,zhangjiang,12:45,1
zhangjiang,handan,14:15,1
handan,zhangjiang,14:30,1
zhangjiang,handan,15:20,1
handan,zhangjiang,15:30,1
zhangjiang,handan,16:00,1
zhangjiang,handan,16:10,1
handan,zhangjiang,16:15,1
zhangjiang,handan,16:20,1
zhangjiang,handan,16:40,1
zhangjiang,handan,17:00,1
zhangjiang,handan,17:20,1
handan,zhangjiang,17:20,2
zhangjiang,handan,18:30,1
handan,zhangjiang,18:30,1
handan,zhangjiang,20:20,3
handan,zhangjiang,20:30,1
handan,zhangjiang,21:00,1
zhangjiang,handan,21:10,1
handan,zhangjiang,21:20,2
fenglin,zhangjiang,07:00,1
fenglin,zhangjiang,07:30,1
zhangjiang,fenglin,07:50,1
fenglin,zhangjiang,09:00,1
fenglin,zhangjiang,12:15,1
zhangjiang,fenglin,12:15,1
fenglin,zhangjiang,13:30,1
zhangjiang,fenglin,15:00,1
fenglin,zhangjiang,16:30,1
zhangjiang,fenglin,17:00,1
fenglin,zhangjiang,19:00,1
zhangjiang,fenglin,19:00,1
