from,to,time,amount
handan,fenglin,08:00,1
fenglin,handan,09:00,1
handan,fenglin,16:30,1
fenglin,handan,17:30,1
jiangwan,handan,07:40,1
jiangwan,handan,08:00,1
handan,jiangwan,08:20,1
jiangwan,handan,08:20,1
handan,jiangwan,08:40,1
jiangwan,handan,08:40,1
handan,jiangwan,09:00,1
jiangwan,handan,09:00,1
handan,jiangwan,09:20,1
jiangwan,handan,09:20,1
handan,jiangwan,09:40,1
jiangwan,handan,09:40,1
jiangwan,handan,10:20,1
handan,jiangwan,17:00,2
jiangwan,handan,17:30,2
handan,jiangwan,20:15,1
jiangwan,handan,20:40,1
handan,jiangwan,21:00,1
jiangwan,handan,21:20,1
handan,jiangwan,21:45,1
jiangwan,handan,22:10,1
handan,jiangwan,22:30,1
handan,zhangjiang,08:30,1
zhangjiang,handan,09:20,1
handan,zhangjiang,16:30,1
zhangjiang,handan,17:30,1
