from,to,time,amount
handan,fenglin,07:20,1
fenglin,handan,07:20,1
handan,fenglin,11:00,1
fenglin,handan,12:30,1
handan,fenglin,16:30,1
fenglin,handan,16:30,1
fenglin,zhangjiang,08:00,1
zhangjiang,fenglin,09:00,1
fenglin,zhangjiang,11:00,1
zhangjiang,fenglin,12:15,1
fenglin,zhangjiang,15:30,1
zhangjiang,fenglin,16:30,1
handan,jiangwan,07:30,1
jiangwan,handan,07:40,1
jiangwan,handan,08:00,1
handan,jiangwan,08:30,1
jiangwan,handan,09:00,1
handan,jiangwan,09:30,1
jiangwan,handan,11:30,1
handan,jiangwan,12:00,1
jiangwan,handan,14:30,1
handan,jiangwan,15:00,1
jiangwan,handan,15:30,1
handan,jiangwan,16:00,1
jiangwan,handan,16:30,1
handan,jiangwan,17:00,1
jiangwan,handan,17:30,1
handan,jiangwan,18:00,1
jiangwan,handan,18:30,1
jiangwan,handan,20:00,1
handan,jiangwan,20:30,1
jiangwan,handan,21:00,1
handan,jiangwan,21:30,1
handan,zhangjiang,07:30,1
zhangjiang,handan,08:15,1
handan,zhangjiang,08:30,1
zhangjiang,handan,09:30,1
handan,zhangjiang,11:60,1
zhangjiang,handan,12:30,1
handan,zhangjiang,15:30,1
zhangjiang,handan,16:30,1
